Angle,with_light,without_light
35,0.052,0.018
35,0.058,0.018
35,0.048,0.017
35,0.052,0.017
35,0.042,0.018
41,0.039,0.017
41,0.036,0.017
41,0.040,0.018
41,0.041,0.017
41,0.045,0.021
45,0.036,0.018
45,0.033,0.018
45,0.032,0.016
45,0.034,0.018
45,0.034,0.017
48,0.031,0.017
48,0.032,0.018
48,0.030,0.017
48,0.028,0.016
48,0.028,0.017
50,0.027,0.017
50,0.028,0.017
50,0.026,0.017
50,0.027,0.018
50,0.025,0.017
52,0.025,0.017
52,0.025,0.017
52,0.025,0.017
52,0.024,0.017
52,0.026,0.018
54,0.025,0.017
54,0.023,0.017
54,0.023,0.017
54,0.023,0.017
54,0.024,0.017
55,0.023,0.018
55,0.023,0.017
55,0.022,0.017
55,0.022,0.018
55,0.023,0.018
56,0.025,0.018
56,0.022,0.017
56,0.020,0.017
56,0.024,0.017
56,0.023,0.017
57,0.024,0.017
57,0.023,0.018
57,0.023,0.017
57,0.024,0.016
57,0.024,0.017
60,0.029,0.019
60,0.028,0.017
60,0.028,0.018
60,0.029,0.017
60,0.029,0.017
65,0.079,0.018
65,0.074,0.017
65,0.076,0.017
65,0.075,0.018
65,0.077,0.018
70,0.676,0.018
70,0.609,0.018
70,0.706,0.019
70,0.671,0.018
70,0.750,0.018